id,conv_id,context,prompt,evaluation,empathetic_intent,speaker_utterance,listener_utterance,speaker_sentiment,listener_sentiment,predictions_ER,predictions_IP,predictions_EX
0,hit:12225_conv:24451,lonely,When my wife and son are gone from me_comma_ i dont like it.,2.0,1,I hate when my wife and son are away from me,I bet it gets lonely,negative,negative,0,0,0
1,hit:12225_conv:24451,lonely,When my wife and son are gone from me_comma_ i dont like it.,2.0,8,No doubt_comma_ and there are too many crazy people in the world,Yes there are. Can't trust anyone these days.,negative,negative,0,0,0
2,hit:8408_conv:16816,afraid,For the last three nights I've been hearing really creepy sounds just outside of my bedroom window. I'm not sure what it is but it's scaring me.,3.0,6,For the last few nights I've heard weird sounds outside my bedroom window.,Oh no! Do you think it's a wild animal?,negative,negative,0,0,2
3,hit:8408_conv:16816,afraid,For the last three nights I've been hearing really creepy sounds just outside of my bedroom window. I'm not sure what it is but it's scaring me.,3.0,3,I don't think so_comma_ it doesn't sound like any animal I recognize. It's really creepy.,I hope it's not a crazy person or worse_comma_ an alien waiting to abduct you!,negative,negative,1,0,0
4,hit:2984_conv:5968,caring,I love spending time and helping oout my grandma,2.0,1,I love spending time and helping out my grandma,That's kind of you,positive,neutral,0,0,0
5,hit:2984_conv:5968,caring,I love spending time and helping oout my grandma,2.0,2,She is so fun to be around too,I bet she really appreciates you,positive,positive,1,0,0
6,hit:5399_conv:10799,sentimental,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,4.0,6,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,Is she far away from you now?,negative,neutral,0,0,2
7,hit:5399_conv:10799,sentimental,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,4.0,6,Yea. She's going to grad school across the country now.,Oh_comma_ can you go across there and visit her?,neutral,neutral,0,0,2
8,hit:2760_conv:5521,furious,when a car almost hit me_comma_ on the interstate.,5.0,8,I swear traffic is the worst in this city. I was almost in a car accident on the interstate going 80 MPH the other ady with my baby in the car.,Wow you too! It's crazy how many bad drivers there are.,negative,negative,2,0,0
9,hit:2760_conv:5521,furious,when a car almost hit me_comma_ on the interstate.,5.0,8,I know for real she was literally right beside me_comma_ didnt even look once and just swerved right into my lane - luckily there was no one beside me because i had to swerve to avoid her hitting me it was intense.,Well I'm glad you weren't hurt.,positive,positive,1,0,0
10,hit:12258_conv:24516,lonely,Sometimes I feel like I'm alone for no reason,5.0,8,I've been processing what being lonely feels like_comma_ because I want to be able to have fun by myself sometimes,I think that's a good idea so you aren't always dependent on others to have fun and just enjoy time to yourself.,neutral,positive,0,0,0
11,hit:12258_conv:24516,lonely,Sometimes I feel like I'm alone for no reason,5.0,1,True_comma_ and I've felt that way before_comma_ but sometimes like a wave of those kinds of feelings hits like I'm not worthy enough and stuff like that_comma_ but it's all good,Meditation on goals and positive ideas during some of that alone time can be so uplifting and refocuses you.,neutral,positive,0,0,0
12,hit:2788_conv:5576,guilty,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...,3.0,7,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...,That's not good at all,negative,negative,0,0,0
13,hit:2788_conv:5576,guilty,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...,3.0,6,Yeah I feel super guilty,Can't you just leave food out? Or set an alarm on your phone?,negative,neutral,0,0,2
14,hit:11354_conv:22708,faithful,my friend told me a secret,4.0,6,my friend told me a secret,Was it a good one? Did you keep it?,neutral,neutral,0,0,2
15,hit:11354_conv:22708,faithful,my friend told me a secret,4.0,6,yes_comma_ i did keep it. im holding it for a couple more days.,Is someone getting married_comma_ or a baby?,positive,neutral,0,0,2
16,hit:11354_conv:22708,faithful,my friend told me a secret,4.0,1,lol_comma_ its one of the them,Well tell them I said Congrats on whatever it is. As long as it's not a baby marriage.,neutral,positive,1,0,0
17,hit:11354_conv:22708,faithful,my friend told me a secret,4.0,5,lol.. i will this weekend. i never hold secrets. im doing a great job,Keep it secret_comma_ Keep it safe....,positive,neutral,0,0,0
18,hit:12330_conv:24661,lonely,My friends went on vacation without me.,5.0,4,My friends went on vacation without me_comma_ and now I have no one to hang out with for 3 weeks.,That sucks_comma_ I'm sorry to hear it. Did they at least ask you first?,negative,negative,2,0,2
19,hit:12330_conv:24661,lonely,My friends went on vacation without me.,5.0,3,Yes but I couldn't go because of work. Guess I will have to suck it up and be lonely for a while.,At least they asked you_comma_ that's good. It will pass in no time and you'll be hanging soon I'm sure_comma_,negative,positive,1,0,0
20,hit:1728_conv:3457,trusting,I let my dad borrow 10 dollars.,3.0,6,I let my dad borrow 10 dollars!,Is there any emergency need for money?,positive,neutral,0,0,2
21,hit:1728_conv:3457,trusting,I let my dad borrow 10 dollars.,3.0,0,Not for me_comma_ but dad always need money and I give to him.,It's our responsibility to take care of our parents.,neutral,neutral,0,0,0
22,hit:7368_conv:14737,lonely,I broke up with my girlfriend this same time last year.,3.0,6,I broke up with my girlfriend this same time last year,That's unfortunate_comma_ made a new one since?,negative,negative,0,0,2
23,hit:7368_conv:14737,lonely,I broke up with my girlfriend this same time last year.,3.0,3,Nope. I haven't felt anything for anyone since.,That's terrible_comma_ I hope you find someone soon.,negative,negative,1,0,0
24,hit:3362_conv:6725,angry,My boyfriend and I broke up and he moved out. Before he left_comma_ he damaged a lot of my stuff.,5.0,8,My boyfriend and I broke up and he moved out.,That's really tough. But one closed door leads to the next great opportunity.,negative,positive,1,0,0
25,hit:3362_conv:6725,angry,My boyfriend and I broke up and he moved out. Before he left_comma_ he damaged a lot of my stuff.,5.0,8,Before he left_comma_ he damaged a lot of my stuff and property.,That's horrible! If you don't have insurance there are a lot of pro bono lawyers that will take your case. Report it to the police so it is documented and justice will prevail. You don't deserve or need to put up with that.,negative,negative,1,0,0
26,hit:1762_conv:3525,jealous,I feel jealous when I see what some people earn. I can't understand how some people can get so much more than me when their talents don't seem to reflect the difference.,4.0,0,I can't understand why some people earn so much money.,I know right,negative,neutral,1,0,0
27,hit:1762_conv:3525,jealous,I feel jealous when I see what some people earn. I can't understand how some people can get so much more than me when their talents don't seem to reflect the difference.,4.0,0,Yeah - my old boss used to get more than double my wage_comma_ yet I couldn't see what he brought to the role to deserve that.,I know exactly what you mean.,negative,neutral,1,0,0
28,hit:2167_conv:4334,disgusted,So I saw a guy at the gas station yesterday and he was over 40..listening to nasty rap and of course he got out to use the free air pump then just THREW it on the ground.,5.0,1,So I saw a guy at the gas station yesterday and he was over 40..listening to nasty rap and of course he got out to use the free air pump then just THREW it on the ground. They constantly have to replace it and it's the only free one in the area.,Oh_comma_ that sound alful! Some people have zero respect for others belonging and even less for things we all need to share.,negative,negative,0,0,0
29,hit:2167_conv:4334,disgusted,So I saw a guy at the gas station yesterday and he was over 40..listening to nasty rap and of course he got out to use the free air pump then just THREW it on the ground.,5.0,8,I know right? It is so ghetto in my neighborhood but I just cannot stand people who behave that way. Yes zero respect and zero care for even their own things_comma_ let alone others. Its sad.,It is sad. Espically since if the same people acted like they cared and wanted to they could help make the enviroment better for everyone.,negative,negative,0,2,0
30,hit:11968_conv:23937,excited,I am very happy that my popsicle business is finally thriving! I have worked so hard on it for many years.,3.0,6,I am very happy that my popsicle business is finally thriving! I have worked so hard on it for many years.,That is great. Where are you selling your popsicle?,positive,positive,1,0,2
31,hit:11968_conv:23937,excited,I am very happy that my popsicle business is finally thriving! I have worked so hard on it for many years.,3.0,7,From my house and from a few local stores. I am not ready to make it any bigger than that.,I understand. Good luck.,neutral,positive,1,1,0
32,hit:7503_conv:15007,jealous,My neighbor just got a new pool installed. I wanted to get one but I couldn't afford it.,5.0,1,My neighbor just got a pool installed. It has a slide and everything.,That sounds so fun! I would love to have a pool in my yard.,neutral,positive,0,2,0
