conv_id,context,prompt,empathy,speaker_utterance,listener_utterance,exchange_number,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,speaker_emotion,listener_emotion,mimicry
hit:12225_conv:24451,lonely,When my wife and son are gone from me_comma_ i dont like it.,2.0,I hate when my wife and son are away from me,I bet it gets lonely,1,0.975964,0.021465445,0.0025705476,0.61042285,0.3590813,0.030495828,0,0,0,0.13933333333333334,0.19799999999999998,0.02733333333333333,-0.08333333333333333,0.01200000000000001,-0.10866666666666668,11,5,0.0022005937062203884,0.942064642906189,0.05376363918185234,0.0005368341226130724,0.00013534676691051573,0.00020018794748466462,0.0001366321084788069,0.000594159762840718,0.00036794450716115534,lonely,lonely,0
hit:12225_conv:24451,lonely,When my wife and son are gone from me_comma_ i dont like it.,2.0,No doubt_comma_ and there are too many crazy people in the world,Yes there are. Cannot trust anyone these days.,2,0.91519713,0.078373194,0.006429728,0.9125285,0.08249871,0.004972899,0,0,0,-0.11149999999999999,-0.0059999999999999845,-0.099,0.607,-0.184,0.13,12,8,0.009608171880245209,0.05505385622382164,0.0007348480867221951,0.0001733580866130069,6.848436169093475e-05,0.00015445143799297512,0.00016871938714757562,0.0012364638969302177,0.9328016638755798,embarrassed,trusting,0
hit:8408_conv:16816,afraid,For the last three nights I've been hearing really creepy sounds just outside of my bedroom window. I'm not sure what it is but it's scaring me.,3.0,For the last few nights I have heard weird sounds outside my bedroom window.,Oh no! Do you think it is a wild animal?,1,0.71593446,0.27305242,0.011013171,0.7790891,0.21165171,0.009259194,0,0,2,0.222,-0.12,-0.109,0.1445,0.194,0.20850000000000002,14,10,8.547171455575153e-05,4.926043038722128e-05,7.05387574271299e-05,2.181033050874248e-05,0.00018208161054644734,0.003353213658556342,0.9957450032234192,0.00018912738596554846,0.00030347154824994504,afraid,sentimental,0
hit:8408_conv:16816,afraid,For the last three nights I've been hearing really creepy sounds just outside of my bedroom window. I'm not sure what it is but it's scaring me.,3.0,I do not think so_comma_ it does not sound like any animal I recognize. It is really creepy.,I hope it is not a crazy person or worse_comma_ an alien waiting to abduct you!,2,0.9652133,0.031862292,0.0029244435,0.6203575,0.3436649,0.035977557,1,0,0,0.24171428571428574,0.03371428571428571,-0.0045714285714285674,-0.25342857142857145,0.11457142857142857,-0.05142857142857144,18,16,0.0001089857323677279,0.0002524220908526331,0.0007989970617927611,0.9958741068840027,0.0008752687717787921,0.0012782099656760693,0.0005475364159792662,4.304096000851132e-05,0.0002213937696069479,afraid,anxious,0
hit:2984_conv:5968,caring,I love spending time and helping oout my grandma,2.0,I love spending time and helping out my grandma,That is kind of you,1,0.002178263,0.012667771,0.985154,0.05703008,0.535949,0.40702096,0,1,0,0.36649999999999994,-0.2145,0.05149999999999999,0.836,-0.52,0.236,9,5,0.0007631508051417768,0.9972689747810364,0.00019152939785271883,0.0007035089074634016,0.00021732889581471682,1.3592605682788417e-05,0.00024500139988958836,0.00033565572812221944,0.0002612454700283706,caring,grateful,1
hit:2984_conv:5968,caring,I love spending time and helping oout my grandma,2.0,She is so fun to be around too,I bet she really appreciates you,2,0.0020954397,0.015323645,0.98258096,0.0023952585,0.05574716,0.9418575,1,0,0,0.588,0.08300000000000002,0.221,0.15000000000000002,0.198,0.088,8,6,0.006690625566989183,0.030843019485473633,0.880429208278656,0.00046468284563161433,0.0004000620683655143,0.0013213768834248185,0.0007127491990104318,0.07610028237104416,0.0030380613170564175,joyful,trusting,1
hit:5399_conv:10799,sentimental,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,4.0,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,Is she far away from you now?,1,0.81253237,0.17189902,0.015568674,0.18786098,0.7896728,0.022466235,0,0,2,0.0625,-0.3325,-0.2455,0.0,0.0,0.0,18,7,6.673623283859342e-05,6.082647814764641e-05,3.1616214982932433e-05,1.6325713659171015e-05,0.00014064931019674987,0.0003999775799456984,0.9989522695541382,0.0002024724381044507,0.0001291361404582858,sentimental,sad,0
hit:5399_conv:10799,sentimental,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,4.0,Yea. She is going to grad school across the country now.,Oh_comma_ can you go across there and visit her?,2,0.107146524,0.80888677,0.08396671,0.019279223,0.887517,0.09320379,0,0,2,0.51,-0.11649999999999999,0.2655,0.281,-0.11599999999999999,-0.111,11,9,0.00013995823974255472,4.4800282921642065e-05,0.00010891335114138201,0.00028251507319509983,0.000461488903965801,0.11008673161268234,0.8878641724586487,0.00041077056084759533,0.000600656378082931,faithful,nostalgic,1
hit:2760_conv:5521,furious,when a car almost hit me_comma_ on the interstate.,5.0,I swear traffic is the worst in this city. I was almost in a car accident on the interstate going 80 MPH the other ady with my baby in the car.,Wow you too! It is crazy how many bad drivers there are.,1,0.96606654,0.02959652,0.0043369136,0.81844884,0.14718272,0.034368474,2,0,0,0.1726666666666667,0.04288888888888887,-0.03688888888888889,-0.44399999999999995,0.3373333333333333,-0.11266666666666665,31,12,0.02105366811156273,0.9499008059501648,0.0030732275918126106,0.000649174558930099,0.00035653598024509847,2.7113972464576364e-05,0.0025773162487894297,0.0010224732104688883,0.02133985236287117,angry,impressed,0
hit:2760_conv:5521,furious,when a car almost hit me_comma_ on the interstate.,5.0,I know for real she was literally right beside me_comma_ didnt even look once and just swerved right into my lane - luckily there was no one beside me because i had to swerve to avoid her hitting me it was intense.,Well I am glad you were not hurt.,2,0.10093709,0.44590753,0.4531553,0.02796852,0.22665033,0.7453812,1,0,0,0.18909090909090914,-0.09690909090909092,0.16381818181818183,0.0,0.533,0.031,42,8,0.00028571690199896693,0.00046325798030011356,1.7468648366048e-05,4.751424785354175e-05,3.2567484595347196e-05,5.304096339386888e-05,6.086427310947329e-05,2.125525861629285e-05,0.9990183115005493,prepared,grateful,0
