conv_id,context,prompt,speaker_utterance,listener_utterance,exchange_number,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,mimicry,empathy
hit:5859_conv:11718,sentimental,Living in the house I grew up in means so much to me.,Thank you_comma_ it,Old houses are the best.,2,0.006591842,0.2112194,0.7821887,0.0028307994,0.041355908,0.9558132,0,0,0,0.916,-0.294,0.052,0.174,-0.73,0.066,3,5,0.0027781652752310038,0.5182237029075623,0.00013503871741704643,0.0016791551606729627,0.0010130242444574833,0.0022595846094191074,0.1439843475818634,0.32861170172691345,0.0013152968604117632,0,2
hit:10139_conv:20278,lonely,For a long time I lived out in the middle of nowhere far away from many people. My friends and family were very far away and it felt very overwhelming sometimes.,At first I felt that way_comma_ but over a period of time it can get very overwhelming.,i can see where isolation can be overwhelming and the need for social contact is desirable and needed,2,0.5935566,0.35105157,0.055391885,0.23493727,0.64652467,0.11853802,0,0,0,0.11925000000000001,-0.103,0.183,0.1888,-0.1036,0.013600000000000024,17,18,0.00020211999071761966,0.9974759221076965,7.78952962718904e-05,0.00038011951255612075,9.874196257442236e-05,5.4843254474690184e-05,0.00011220109445275739,0.00016909383703023195,0.0014290240360423923,1,3
hit:10280_conv:20561,devastated,My grandfather passed away_comma_ and when I found out it had already been several weeks after the funeral happened.,Unfortunately it's a very long ways away. I hope someday too_comma_ though. It's important_comma_ if only for closure.,Yes_comma_ it will be worth saving up for. I hope it works out for you.,2,0.25249192,0.5162116,0.23129648,0.003959804,0.09347821,0.902562,1,0,0,0.035999999999999976,-0.237,0.077,0.5516000000000001,-0.17560000000000003,0.4936,18,15,0.00010734361421782523,0.00022281284327618778,0.00564724113792181,0.9908310770988464,0.00014189262583386153,0.002520163543522358,0.00019405248167458922,6.326066795736551e-05,0.00027199965552426875,0,3
hit:10826_conv:21653,apprehensive,I'm 47 years old and have been taking psychotropic meds for well over 30 years. I'm having more and more trouble with them working properly.,Oh yes.. We've made quite a few changes over the past few years They don't seem to work like they did in the past Not as well_comma_ nor as long. Very scary,I hope that you can find a solution to help with that. Good luck!,2,0.9213581,0.07224526,0.006396636,0.0043907273,0.084877096,0.91073215,1,0,0,0.03533333333333333,-0.053555555555555565,-0.06488888888888888,0.652,-0.15333333333333335,0.2313333333333333,32,14,0.00013485102681443095,0.00017011915042530745,0.04325985163450241,0.9171221256256104,0.0019766725599765778,0.0011708828387781978,0.00037984264781698585,0.03567647561430931,0.00010913613368757069,1,3
hit:4412_conv:8824,excited,There's a new computer cafe about to open up near me. Would love to make some new gaming friends.,There's a new computer cafe about to open up near me. Would love to make some new gaming friends,That sounds awesome. I didn't know such places existed.,1,0.00087103125,0.023685688,0.97544324,0.0068975915,0.04411443,0.948988,0,0,0,0.6032,-0.079,0.0748,0.5415,0.07100000000000001,0.1955,19,9,0.004404273349791765,0.9937303066253662,0.00018404358706902713,0.00031124590896070004,8.683618943905458e-05,4.264863673597574e-05,4.9092635890701786e-05,0.0003413440426811576,0.00085025979205966,1,3
hit:6728_conv:13457,excited,I received this email yesterday saying that I have unclaimed money and all I have to do is verify some information to receive it. I confirmed the validity of the email and it turns out to be a substantial amount of money.,I received this email yesterday saying that I have unclaimed money and all I have to do is verify some information to receive it. I confirmed the validity of the email and it turns out to be a substantial amount of money.,Dang_comma_ that sounds too good to be true. If you're 100% sure that it's not a scam_comma_ and then 100% sure again that it's definitely not a scam (please really really check in every way possible)_comma_ then I'm happy for you!,1,0.19804163,0.66583407,0.13612427,0.0055818716,0.03585182,0.95856625,1,0,0,0.3327058823529412,-0.14541176470588238,0.18164705882352938,0.2486666666666667,-0.07083333333333336,0.1711666666666667,42,41,0.7425816655158997,0.16487857699394226,0.0021097336430102587,0.07304369658231735,0.00018324762640986592,0.00035688953357748687,0.0012570252874866128,0.0019138241186738014,0.013675318099558353,1,3
hit:3534_conv:7068,joyful,I feel happy when I am outside in nature.,I feel happy when I am outside in nature,That's wonderful! I do too. I don't take it for granted because I've been battling Lupus for 13 years and in bed a lot. Its an amazing world we have! What is on of your favorite things to do outside?,1,0.0012190131,0.02007983,0.9787011,0.0033168388,0.012389541,0.98429364,1,2,2,0.7726666666666667,0.013999999999999976,0.3406666666666667,0.4333846153846154,-0.09830769230769229,0.12061538461538462,9,40,0.0001716872357064858,0.0003041669260710478,0.00010169250890612602,1.128768599301111e-05,0.00010099384962813929,0.00010788482177304104,0.9975643157958984,0.00024779848172329366,0.0013902031350880861,1,2
hit:5922_conv:11844,anticipating,I'm really looking forward for the new Greek restaurant to open here. I can't wait to try it.,It's really good. I can't wait to try it!,There aren't many restaurants where I live. Only fast food.,2,0.0018397816,0.0054864134,0.9926738,0.5347321,0.4057688,0.0594991,0,2,0,0.17733333333333332,-0.276,-0.09733333333333333,0.7433333333333333,-0.06466666666666666,0.13533333333333333,9,10,0.0006806323071941733,0.01473867055028677,0.00030118480208329856,1.3010494512855075e-05,0.0001669405901338905,0.0002509208279661834,0.0028999829664826393,0.0014170187059789896,0.9795316457748413,0,1
hit:11889_conv:23779,embarrassed,I didn't have enough money to pay for my groceries and had to put something back. There were a lot of people in line.,I didn't have enough money to pay for my groceries and had to put something back. There were a lot of people in line.,oof thats not a fun siutation,1,0.78137684,0.19774769,0.020875491,0.8866171,0.09877601,0.014606919,0,0,0,0.16974999999999998,-0.1795,-0.016499999999999987,0.836,0.686,0.334,24,6,0.008144117891788483,0.7683331966400146,0.0011202356545254588,0.14274778962135315,0.001176317222416401,0.0006112115806899965,0.06906288862228394,0.008197909221053123,0.0006062740576453507,0,3
hit:14145_conv:24294,apprehensive,About a year ago_comma_ I was about to run my first 54 mile race. I had broken my toe a few weeks prior and was very nervous that it wasn't going to hold up through the race.,Last year I was about to run my first 54 mile race. I had broken my toes a few weeks before and wasn't sure I was going to make it.,Ouch_comma_ that's unfortunate. Hopefully it turned out okay though?,1,0.782332,0.19945173,0.018216245,0.32498962,0.48282114,0.19218925,1,0,2,0.041600000000000005,-0.18880000000000002,0.013999999999999999,-0.297,0.025,-0.22199999999999998,30,9,0.0001485827233409509,0.00021387099695857614,0.0013100088108330965,0.9886103272438049,0.0021190622355788946,0.005865525454282761,0.0015481434529647231,9.616249735699967e-05,8.833460742607713e-05,0,3
