,conv_id,context,prompt,speaker_utterance,listener_utterance,empathy,pred,empathy_red
50,hit:8091_conv:16182,afraid,there was a time that I came home and my lights were on in the house and my door was unlocked and it had me really scared_comma_ I had my cell phone ready to dial 911 but noone was in my home and I never did figure it out,no and that was the weird thing nothing was taken,Had they gone through anything?,1,1,1
51,hit:9328_conv:18657,sentimental,box of baby stuff i keep,i have a box of baby stuff from my twins that i have kept since they have been babies. they are 25 now,thats very cute to do that,1,1,1
60,hit:4445_conv:8891,angry,I am not happy that I will not be able to attend the Kentucky Derby this year.,I have to work this year. I could not get the time off.,that really suckks,1,1,1
68,hit:8029_conv:16059,excited,I'm getting a new phone soon. I've wanted one for ages and I'm looking forward to it.,Oneplus 6 hopefully!,Dang! Now that is a savvy phone! I have 12 of them.,1,1,1
92,hit:4702_conv:9405,furious,My daughter ate all of my strawberry shortcake ice cream bars. I cant believe her,She ate all of my favorite ice cream bars. ITs petty but thats my comfort food,My kids eat all my snacks too. Parent struggles are real.,1,1,1
99,hit:10157_conv:20315,ashamed,I was embarrased when my shoe peeled off on the way,I had to walk bare footed to a point,A point of what? Like_comma_ of land?,1,1,1
105,hit:1632_conv:3264,lonely,I posted a party on social media this morning. Not single soul showed up and I am alone...again,I did not invite anyone in particular but it was a message to everyone on my followers list.,Where was the party?,1,1,1
120,hit:9558_conv:19117,disgusted,I hate when i wash dishes and touch food,i hate when i do dishes and touch food that was on the plate1! so gross. makes me wanna throw up,Really? It does not bother me at all. I wonder why you feel that way?,1,1,1
122,hit:4614_conv:9229,proud,After pushing my little brother through out the years in school he graduated with a 3.2 this May!,It was hard for my brother through out school,Why is that,1,1,1
130,hit:2685_conv:5370,jealous,she sat with them instead of me in champagne room,I wish I had money. Then she would sit with me instead of him,Sit where?,1,1,1
137,hit:5079_conv:10158,excited,i cant wait for this weekend!,i cant wait for this weekend!,What is happening this weekend?,1,1,1
145,hit:1633_conv:3266,terrified,I'm gonna watch the new episode of Stephen Kings show tonight with the lights on,Stephen Kings new show is so scary.,I have not seen it yet_comma_ tell me abnout it,1,1,1
150,hit:8281_conv:16562,excited,I was much surprised to receive a hike in my salary.,I received a hike in my salary.,Fantastic_comma_ was it a lot ?,1,1,1
161,hit:5201_conv:10402,anxious,Going to the store today was a bit hard. I do not like big stores or being around people sometimes but I have too.,Going to the store today was a bit hard.,It was? What made it hard specifically? Hopefully nothing too bad happened.,1,1,1
168,hit:6246_conv:12492,afraid,I am a bit scared for the weekend to come. I don't know what will happen between me and another person and I hate the unknown.,I do not know what will happen between me and another person and I hate the unknown.,I hope it turns out ok.,1,1,1
175,hit:310_conv:621,confident,I went in for a third interview at a company considering me. The owner was in attendance_comma_ and I could see he was impressed with my portfolio. They told me they still were looking at two other candidates_comma_ but I bet I'll get an offer tonight or tomorrow.,I know I should not count my chicks before they hatch_comma_ but I am feeling pretty good after that interview today!,Oh what job was the interview for?,1,1,1
194,hit:2951_conv:5902,prepared,I am ready for the winter storms.,I am ready for the winter storms.,Storms? Why?,1,1,1
222,hit:6707_conv:13415,devastated,Watching my house burn down after getting my family out. It was such a cold and bitter night.,Cannot believe I just saw all my possessions disappear.,Whoa. What happened?,1,1,1
241,hit:6702_conv:13404,apprehensive,I'm scared to go to the cottage,I do not like bugs!,I hate bugs too. You should exterminate before you move in,1,1,1
244,hit:1993_conv:3987,prepared,I am going on a road trip so later today I have to buy stuff for sandwiches_comma_ waters_comma_ snacks_comma_ I have even made a list. I think I am really ready for this.,yeah I think so too_comma_ I am not very well off so I will not be able to buy food a lot so that is what I will be eating,ok that is cool,1,1,1
245,hit:5212_conv:10424,nostalgic,Lightning storms always remind me of you.,Lightning storms always remind me of you.,Why is that,1,1,1
262,hit:2310_conv:4621,surprised,There were 6 kittens in front of my doorstep this morning.,Yep. Let us see how it goes. If not_comma_ I could always find a good home for them.,That is a lot to take in.,1,1,1
303,hit:6584_conv:13169,content,so happy i don't have to live in an apartment anymore. a house is so much more free,feels good man,I am sure it does,1,1,1
324,hit:3321_conv:6643,excited,i got invited to a texas trip the other week.,i got invited to a trip to texas the other week,Who invited you?,1,1,1
348,hit:6721_conv:13443,devastated,My dog just died in my arms,My dog just died in my arms.,Did that happen tonight?,1,1,1
356,hit:5219_conv:10439,content,I was happy to relax over the weekend. I was content,I was happy to relax this weekend. I felt content,That is the story of my life.,1,1,1
374,hit:7247_conv:14494,jealous,my little dog likes my new girlfriend too much ,I just mean my dog usually has to warm up to people.,Ok_comma_ I get it now.,1,1,1
399,hit:8231_conv:16463,confident,When I walk into a room full of people I can usually feel all eyes on me but it doesn't faze me...especially if I just got a clean fade,A haircut.,Oh it sounds kind of cool,1,1,1
415,hit:4461_conv:8923,nostalgic,I remeber when I first started watching game of thrones like it was yesterday,I was amazed at every episode,yea same,1,1,1
435,hit:6324_conv:12649,anticipating,i got madden today i cant wait to play it,ps4_comma_ do you play?,Yes_comma_ but for Xbox one.,1,1,1
472,hit:4241_conv:8483,proud,I am feeling mighty accomplished today. I won my jousting tournement.,My whole life pretty much. It was cool me and my horse were just so in sync today.,That is nice.,1,1,1
473,hit:2521_conv:5042,lonely,My boyfriend left town a couple of days ago and he won't be back for over a week. It is so quiet here and there's nothing to do.,My boyfriend left town a couple days ago and he will not be back for over a week.,what are you gonna do? partyyyyy?,1,1,1
481,hit:12306_conv:24613,proud,I finally got my BA. I am so happy to be done with college?,I finally got my BA. I am so happy to be done with college?,School can be al ot of work,1,1,1
523,hit:7353_conv:14707,content,I had a great two weeks with work. I made enough to even get a few things I wanted and to save up! I love it when those things happen.,I had a great two weeks with work,that sounds good.,1,1,1
527,hit:7355_conv:14711,joyful,I have money saved up_comma_ I am making extra money the past few weeks and there has been no big dramas. It's a good week!,have money saved up_comma_ I am making extra money the past few weeks and there has been no big dramas.,Saving money is so important,1,1,1
548,hit:1712_conv:3425,trusting,I remember dropping my phone on subway and an old man picked it up and gave it back to me.,So remember I told you_comma_ that I have lost my phone for a moment on a subway?,Yes_comma_ what about it?,1,1,1
560,hit:5540_conv:11081,jealous,my sister just got a new car. Its really nice but I want one too,My sister just got a new car,That is awesome. What kind of car.,1,1,1
577,hit:12310_conv:24620,disgusted,I saw the grossest thing on the bus the other day. This guy left a sandwich and it was so moldy.,I was on the bus the other day and saw the grossest thing.,what was it?,1,1,1
580,hit:5784_conv:11561,sad,My 19 year old cat died recently. I was devastated. I still think about him a lot.,My 19 year old cat died recently. I was devastated.,im sorry to hear that,1,1,1
596,hit:7124_conv:14248,disgusted,Every time I meet a girl on Tinder and she starts to like me_comma_ things go bad. She just finds a better looking guy and drops me.,Yeah it sucks_comma_ I just want a girl that is good but is not shallow as hell too.,Did you talked to her after?,1,1,1
601,hit:8433_conv:16867,caring,i loved taking care of my sisters pet,yea all pets are awesome except for snakes and spiders,I do not like spiders so much_comma_ but I do really like snakes.,1,1,1
613,hit:4347_conv:8695,disgusted,My friend put vinegar on his ice cream sundae.  It looked really gross.,It looked and smelled really gross.,that is one of the most horrible things ive ever heard.,1,1,1
615,hit:10419_conv:20839,annoyed,I was angry at my friend's attitude towards me,They always neglt me,who does and that is mean of them.,1,1,1
620,hit:1306_conv:2612,devastated,My car was broken into.,My car was broken into last night. I lost my laptop_comma_ loose change I had in the cupholders_comma_ my GPS_comma_ and they yanked my radio set out.,Did you call the police?,1,1,1
660,hit:3899_conv:7799,anxious,I sent an email I shouldn't have sent_comma_ and for about a week I obsessed over it. Thankfully nothing came of it and all that worrying was for nothing.,True. The funny thing was I obsessed over it for days_comma_ worrying I made a mistake. And absolutely nothing happened! I worried for nothing.,Thats usually how it goes,1,1,1
