conv_id,context,prompt,empathy,speaker_utterance,listener_utterance,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,mimicry
hit:4705_conv:9411,anticipation,waiting for my house to sell ,3.0,My house is in closing right now_comma_ should be a few more weeks but it feels like forever. I cant wait. ,i know how that feels,0.036312737,0.12494958,0.83873767,0.49199492,0.4346358,0.07336921,0,0,0,0.1939999999999999,-0.3866666666666667,-0.0333333333333333,0.567,-0.037,0.3,21,5,0.9976301193237304,0.0006051044329069,0.0009287209250032,0.0002630110247991,2.6234076358377934e-05,0.0001127144132624,0.000148099832586,0.0001088051794795,0.0001772598916431,0
hit:4705_conv:9411,anticipation,waiting for my house to sell ,3.0,feels like forever!!!!!!!!!!!!!!!!!!!!,once you get it over with you will feel better,0.11163731,0.27841833,0.6099443,0.023678115,0.2566566,0.71966535,1,0,0,0.521,-0.045,0.042,0.542,0.196,0.263,3,10,0.0005989481578581,0.0003589832049328,0.0008872604230418,0.9966399669647216,0.0003250996232964,0.0001177536032628,0.0008176145493052,8.558370609534904e-05,0.0001687540498096,1
hit:3931_conv:7862,anticipation,There is a new video game that I really want to get coming out in November. I can't wait for it to be released!,4.0,I cannot wait for this new video game to come out in November. It will be great to play it but it so far away!,What game are you waiting for?,0.002142916,0.0056645838,0.99219257,0.05180548,0.89214337,0.05605126,0,0,2,0.37975,0.0322499999999999,0.05675,-0.026,0.1269999999999999,-0.174,25,6,4.957650526193902e-05,7.105205440893769e-05,4.08740816055797e-05,1.6693809811840765e-05,0.0001052746447385,0.000288004608592,0.99907386302948,0.0002556009567342,9.905722254188733e-05,0
hit:3931_conv:7862,anticipation,There is a new video game that I really want to get coming out in November. I can't wait for it to be released!,4.0,"""The newest pokemon game """"Let us Go Pickachu"""" A bit nerdy I know but I love the series. """,I used to love those games growing up so I cannot judge you for it!,0.0021805386,0.01975026,0.9780692,0.07028231,0.18708917,0.74262846,1,2,0,0.1955,-0.1305,-0.1105,0.2995,0.1084999999999999,0.155,19,15,8.179026917787269e-05,0.0002847807772923,2.994608075823635e-05,1.547076681163162e-05,7.749966607661918e-05,0.0001555443450342,0.0002349807909922,2.285450136696454e-05,0.9990971088409424,0
hit:9661_conv:19323,anticipation,I had bought some tickets at the fair and hoped to win the new mustang. I knew it was unlucky but I still imagined I would win,5.0,I just bought some tickets to win the price at the state fair.,how lucky you feeling?,0.015145032,0.7432066,0.24164835,0.040334456,0.7526978,0.2069677,0,0,2,0.3856,-0.0268,0.2415999999999999,0.766,-0.061,0.3239999999999999,13,4,7.131350139388815e-05,3.840821227640845e-05,2.173211942135822e-05,3.0175282518030144e-05,9.523345215711744e-05,0.0004562053945846,0.9990257024765016,0.0001712011435301,9.009070345200598e-05,1
hit:9661_conv:19323,anticipation,I had bought some tickets at the fair and hoped to win the new mustang. I knew it was unlucky but I still imagined I would win,5.0,I know its not likely but I really want to win the new mustang,well if it is worth anything i give you my luck! i hope you win that mustang!,0.009349498,0.13817301,0.8524775,0.0025061867,0.050874762,0.9466191,1,0,0,0.516,0.0616666666666666,0.3113333333333333,0.655,-0.0003333333333333,0.4803333333333333,14,17,0.000426427606726,0.000219633206143,0.178374096751213,0.5094355940818787,0.0019841329194605,0.0016144121764227,0.0006669772556051,0.3070339858531952,0.0002447888837195,1
hit:9347_conv:18694,anticipation,There is a chance of storms tomorrow and I hope we don't get anymore as we have been close to having floods recently!,3.0,There is a chance of storms tomorrow and I hope we do not get anymore as we have been close to having floods recently!,thats a fair point,0.62221456,0.33661366,0.04117175,0.040374443,0.6023132,0.3573123,0,0,0,0.1624999999999999,0.09125,0.072,0.302,-0.25,0.0739999999999999,24,4,0.0015051551163196,0.7423517107963562,0.0062643154524266,0.0020268005318939,0.0004281662113498,9.172302088700236e-05,0.0004315609985496,0.2467222064733505,0.0001783640618668,0
hit:9347_conv:18694,anticipation,There is a chance of storms tomorrow and I hope we don't get anymore as we have been close to having floods recently!,3.0,Thanks I think so as well_comma_ it is quite annoying when it floods!,yea i bet it is,0.83032405,0.14558303,0.024092857,0.1137663,0.6338389,0.2523948,0,0,0,-0.003,0.2555,0.0174999999999999,0.136,0.11,-0.096,13,5,0.0082714995369315,0.2155122458934784,0.757649838924408,0.0004350303788669,0.0003244688850827,0.001140528358519,0.0007074890309013,0.01291417889297,0.0030447798781096,0
hit:441_conv:882,anticipation,I studied a lot for my psychology exam and ended up acing it with a 98%.,4.0,One time I studied my butt off for my first psychology exam. It was hard and I studied all night.,How did you do,0.6355672,0.30518258,0.059250247,0.11297431,0.76965463,0.11737109,0,0,1,0.1259999999999999,-0.0839999999999999,0.2075999999999999,0.34,0.096,0.072,20,4,0.000208973797271,0.0001116960411309,6.368340109474957e-05,3.033754364878405e-05,0.0001514256728114,0.0003111922414973,0.986158013343811,0.0003578283649403,0.0126068387180566,0
hit:441_conv:882,anticipation,I studied a lot for my psychology exam and ended up acing it with a 98%.,4.0,I ended up actually getting a 98%!,That is great! My B.S. ( I always hate saying that because I have to say I have my BS in psychology) is in Psychology.,0.0034752262,0.11828679,0.878238,0.051225368,0.13257873,0.81619585,0,2,0,-0.396,0.0,0.0,0.1988571428571428,-0.0437142857142857,0.2457142857142857,7,25,0.0007337189163081,0.9947569370269777,0.0001228141627507,0.0004630557377822,0.0003095850697718,2.9872202503611334e-05,6.614430458284914e-05,0.0003296939830761,0.0031881572213023,0
