conv_id,context,prompt,empathy,speaker_utterance,listener_utterance,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,mimicry
hit:1914_conv:3829,disgust,My daughter was sick the other day and I couldn't afford to miss work. I sent her to daycare even though I shouldn't have.,5.0,My daughter was sick the other day and I could not afford to miss work.,That is an unfortunate predicament to be in. What did you end up doing?,0.9330433,0.060931712,0.0060249898,0.8855903,0.106932916,0.0074767903,1,0,2,0.1617142857142857,-0.1397142857142857,-0.1508571428571428,-0.347,-0.222,-0.206,15,14,6.743559060851112e-05,8.838385110720992e-05,1.918542693601921e-05,2.7698270059772767e-05,0.0005260569159872,0.0012838398106396,0.9971935153007508,0.0001057108311215,0.0006881618755869,0
hit:1914_conv:3829,disgust,My daughter was sick the other day and I couldn't afford to miss work. I sent her to daycare even though I shouldn't have.,5.0,I sent her to daycare even though I probably should not have. I would get fired if I stayed home though.,That is a tough decision for sure_comma_ but you definitely cannot get fired for something like that_comma_ and kids are exposed to germs all the time.,0.54858446,0.40958026,0.041835226,0.8669069,0.12438258,0.008710542,0,0,0,0.344,-0.1891999999999999,-0.0424,0.1717777777777777,-0.0804444444444444,0.1566666666666666,21,26,0.0015746937133371,0.0001448588300263,1.5968949810485356e-05,0.000322546751704,7.301366713363677e-05,6.864189344923943e-05,0.0001654792431509,5.950354170636274e-05,0.9975752234458924,1
hit:3745_conv:7491,disgust,I watched a little drop his candy bar on the ground. He then bent down picked it up and ate it! Didn't even wipe it off.,4.0,Little kids really have no clue about germs I think.,Yea_comma_ I agree. Or they just really do not care.,0.94771755,0.04829414,0.0039883163,0.61768764,0.3478258,0.03448653,0,0,0,0.1396,-0.2712,-0.2628,0.5906666666666667,-0.3053333333333333,0.0113333333333333,10,10,0.9909481406211852,0.0002752848668023,0.0001173767086584,0.005968349520117,0.0003257570788264,0.0002633260155562,0.0009720877278596,9.618346666684374e-05,0.0010333684040233,1
hit:3745_conv:7491,disgust,I watched a little drop his candy bar on the ground. He then bent down picked it up and ate it! Didn't even wipe it off.,4.0,This kid dropped his candy bar and then picked it up and ate it.,Did he even hesitate?,0.77232224,0.21326655,0.014411255,0.23379676,0.7397652,0.026438005,0,0,2,0.4649999999999999,-0.0365,-0.0835,-0.082,0.096,-0.536,14,4,3.963668495998718e-05,4.663524669012986e-05,2.0602932636393238e-05,2.7492631488712505e-05,0.0001538387150503,0.0004766416968777,0.9989497065544128,0.0001496709155617,0.0001357686560368,0
hit:3745_conv:7491,disgust,I watched a little drop his candy bar on the ground. He then bent down picked it up and ate it! Didn't even wipe it off.,4.0,Not even a little.,What a little monster!,0.3689403,0.5206834,0.11037633,0.9128731,0.07156145,0.015565442,0,0,0,-0.23,-0.68,-0.574,-0.482,0.0949999999999999,-0.1909999999999999,4,4,0.0001502099185017,0.0002173272368963,2.6902560421149246e-05,2.1713447495130825e-05,0.0007907206891104,0.0082624480128288,0.9899038076400756,0.0003050141676794,0.0003218772471882,0
hit:1710_conv:3421,disgust,I was walking home from work at night when I accidentally stepped on a dead rat. I almost puked myself looking at it.,4.0,I was walking home from work at night when I accidentally stepped on a dead rat. I almost puked myself looking at it.,I would cry_comma_ very much!,0.87983745,0.10633541,0.0138271665,0.09972782,0.26449767,0.6357745,1,0,0,0.0099999999999999,0.0011428571428571,-0.0679999999999999,-0.374,0.039,-0.318,23,5,0.0002916948287747,0.9974098801612854,5.075774606666528e-05,0.0002836696221493,5.275872172205709e-05,0.0011270021786913,0.0002469754836056,0.0002264557406306,0.0003107797820121,0
hit:1710_conv:3421,disgust,I was walking home from work at night when I accidentally stepped on a dead rat. I almost puked myself looking at it.,4.0,Yea I am usually terrified of rats_comma_ so seeing a dead one is even worse!,I would cry and cry for days.,0.9636696,0.032772973,0.0035573957,0.4052984,0.40612376,0.18857783,0,2,0,-0.4106666666666667,0.1103333333333333,-0.3656666666666666,-0.261,-0.0325,-0.3369999999999999,15,7,0.0002928519097622,0.9983312487602234,0.0002533583319745,0.0002655473945196,7.865932275308296e-05,2.583439345471561e-05,5.0609367463039234e-05,0.0005667271907441,0.0001351895334664,1
hit:8429_conv:16859,disgust,I feel so ashamed! I took the last cookie that my son was hoping to have as an after school snack. ,2.0,I feel so ashamed! My son baked cookies yesterday to have today after school and I ate them all!,I guess that means they were good at least,0.91179985,0.07889779,0.009302322,0.007108319,0.12697062,0.865921,0,0,0,0.3079999999999999,-0.1545714285714285,-0.0877142857142857,0.3453333333333333,-0.1346666666666666,0.064,19,9,5.803118256153539e-05,5.446666182251647e-05,1.5858806364121847e-05,2.5779660063562915e-05,3.248791108489968e-05,0.0001447449612896,8.897065708879381e-05,2.5908784664352424e-05,0.9995536208152772,1
hit:8429_conv:16859,disgust,I feel so ashamed! I took the last cookie that my son was hoping to have as an after school snack. ,2.0,They were delicious! I guess I better go bake some more for him.,That sounds like a good idea,0.002000696,0.019582154,0.97841716,0.0028538315,0.044964865,0.95218134,0,0,0,0.472,-0.014,-0.003,0.586,-0.059,0.0409999999999999,13,6,0.0002699437609408,0.99811989068985,0.0002074574149446,0.0004333110991865,8.045536378631368e-05,5.597283961833455e-05,5.4504689614987e-05,0.0007119937217794,6.64689505356364e-05,1
hit:8720_conv:17440,disgust,Our toilet got clogged recently and it was my fault_comma_ but I was scared to tell everyone.,5.0,Our toilet got clogged and we had to call a plumber to come fix it. It was actually my fault.,Ah_comma_ a plunger did not do the trick? Hope it was not too expensive!,0.91267884,0.07783933,0.009481854,0.22226547,0.55534804,0.22238654,0,0,2,-0.0373333333333333,-0.0693333333333333,-0.1666666666666666,0.0784999999999999,0.0335,0.0254999999999999,20,14,0.000398567324737,0.0004752354288939,0.0049488726072013,0.7878515720367432,0.0031863059848546,0.002077265875414,0.0948238000273704,0.0001600741816218,0.1060782670974731,0
hit:8720_conv:17440,disgust,Our toilet got clogged recently and it was my fault_comma_ but I was scared to tell everyone.,5.0,Nah I tried that but it was too far gone. It was not too pricey_comma_ but not cheap either. Oh well.,Yeah_comma_ well at least it did not break the bank_comma_ things happen.,0.45240885,0.4575099,0.09008127,0.15753138,0.60673994,0.23572868,0,0,0,-0.1706666666666666,-0.1546666666666666,-0.4053333333333333,0.149,-0.2579999999999999,-0.072,21,12,0.0002750348066911,5.420908564701677e-05,6.232872692635283e-05,0.002317297970876,0.0003077609871979,0.0092559196054935,0.0046593220904469,7.447623647749424e-05,0.9829937219619752,0
hit:10722_conv:21444,disgust,I showed some photos my girlfriend sent me to a friend when they were supposed to be private,1.0,man I feel kind of bad for something that I did,What did you do?,0.8865738,0.10763143,0.0057947733,0.13344225,0.80646473,0.060093045,0,0,1,0.2299999999999999,-0.022,0.0579999999999999,0.34,0.096,0.072,11,4,5.120487185195088e-05,3.315661888336763e-05,2.734178451646585e-05,2.6627130864653736e-05,0.0001260907010873,0.000589941162616,0.9987885355949402,0.0001600661198608,0.0001970787416212,1
hit:10722_conv:21444,disgust,I showed some photos my girlfriend sent me to a friend when they were supposed to be private,1.0,my gf sent me some....photos_comma_ and I showed my mate a couple of them....,Dang! Maybe you can send me some too,0.022425538,0.7322732,0.24530126,0.20884034,0.61735916,0.17380051,1,0,0,0.588,-0.1006666666666666,0.138,0.325,-0.16,-0.009,14,8,0.0015465605538338,0.0005485091242007,0.0001428972027497,6.969476089579985e-05,0.0010052126599475,0.995511531829834,0.0009551374241709,0.0001351989631075,8.520161645719782e-05,1
hit:2147_conv:4295,disgust,My credit card debt is ridiculous. I'm so embarrassed.,5.0,My credit card is ridiculous. I am so embarrassed and upset with myself that I let it get this bad.,Are spending too much on unnecessary things?,0.9733689,0.022470867,0.0041601458,0.7522699,0.23402803,0.013702009,0,0,2,-0.2725,0.061,-0.187,-0.3326666666666667,-0.2426666666666666,-0.48,20,7,8.559768320992589e-05,0.0001503696548752,5.721476190956309e-05,1.2613636499736458e-05,5.546973625314422e-05,0.0001606625883141,0.9992355108261108,0.0001176364530692,0.0001249150227522,0
hit:2147_conv:4295,disgust,My credit card debt is ridiculous. I'm so embarrassed.,5.0,I was_comma_ I have not used my card in awhile but the big number is still there.,Do you have any concrete financial plan on full repayment of your debts?,0.23085867,0.6345939,0.13454743,0.15673336,0.826006,0.017260643,0,0,2,0.1399999999999999,-0.2868,0.0396,0.077,-0.0656666666666666,0.1719999999999999,17,13,7.06826540408656e-05,5.1056187658105046e-05,5.701456757378765e-05,1.830079963838216e-05,0.0001386077201459,0.0005655491258949,0.9988454580307008,7.593743794132024e-05,0.000177379901288,1
hit:1868_conv:3736,disgust,I drank alcohol today at work,4.0,Hi_comma_ i promised myself I would never drink again but I drank yesterday.,It is a interesting and relaxing way to end a evening. Ive been there before.,0.61009574,0.34594223,0.043962054,0.001629061,0.01415381,0.98421717,0,2,0,0.0953333333333333,-0.1666666666666666,-0.2306666666666666,0.1667999999999999,-0.3232,-0.1032,13,15,0.0005539667909033,0.9937398433685304,0.0003887428611051,0.0010567909339442,0.0004210747138131,4.656347664422356e-05,4.525313852354884e-05,0.0001076918124454,0.0036400621756911,1
hit:1868_conv:3736,disgust,I drank alcohol today at work,4.0,I feel really bad about it though. ,Sorry to hear that.All we can do is learn from it_comma_really.,0.8476059,0.13685344,0.015540634,0.23629358,0.5784093,0.18529712,2,0,0,-0.073,0.2269999999999999,-0.031,0.3305,-0.103,-0.0304999999999999,7,11,0.0001429303520126,0.0001946706033777,2.891523035941645e-05,0.0003474107361398,0.99653959274292,0.0002147298800991,0.0022538830526173,0.0001733851822791,0.0001045097669702,0
hit:9770_conv:19541,disgust,I destroyed the house in a drunken rage,3.0,I wrecked havoc in my house in a drunken rage last night,Oh that dont sound really good,0.95784813,0.037686076,0.0044657425,0.9386474,0.055773046,0.0055796104,0,0,0,-0.4456666666666666,0.2183333333333333,-0.1133333333333333,0.7030000000000001,-0.009,-0.0679999999999999,12,6,0.0002194309781771,0.9983172416687012,0.000150779611431,0.0002742249344009,7.104998803697526e-05,6.0127356846351177e-05,8.66597329149954e-05,0.000758736510761,6.171052518766373e-05,0
hit:9770_conv:19541,disgust,I destroyed the house in a drunken rage,3.0,I agree_comma_ I am ashamed once I woke up in the morning and saw the aftermath of my actions. I will never drink again,I think you make a wise decision_comma_ never drink too much again,0.94936335,0.046429865,0.004206784,0.035766404,0.40934923,0.5548844,0,0,0,0.1215,-0.01725,0.0474999999999999,0.4575999999999999,-0.144,0.3088,24,12,0.0004276936524547,8.069139585131779e-05,0.0005062053678557,0.0204291734844446,0.0009708419675007,0.9404390454292296,0.0121879903599619,0.0002538069093134,0.0247045289725065,1
hit:841_conv:1682,disgust,I lied to my friend about an important situation. It only made things worse in the end.,3.0,I lied to my friend a few days ago_comma_ and it made me feel really bad,Was it about something serious?,0.94057715,0.056307584,0.00311532,0.18360157,0.7924505,0.023947995,0,0,2,0.1476,-0.1244,-0.066,0.0,-0.09,0.238,16,5,6.853774539195001e-05,8.260885806521401e-05,2.6764160793391056e-05,1.558493204356637e-05,0.0002730373525992,0.0004598934610839,0.998323142528534,0.0001193813368445,0.0006309926975518,0
hit:841_conv:1682,disgust,I lied to my friend about an important situation. It only made things worse in the end.,3.0,Yes_comma_ and it actually ended up making things worse in the end as he found out I kept it secret his girlfriend was cheating on him,I hope she was not cheating with you at least.,0.9253166,0.071669474,0.003014006,0.19498296,0.73802686,0.06699021,1,0,0,-0.1328571428571429,0.0182857142857142,-0.1754285714285714,0.854,-0.366,0.478,26,10,8.642208558740094e-05,0.0004045740060973,0.0016566342674195,0.9947358965873718,0.0006243849056772,0.0002148168277926,0.0001868686958914,8.354201418114826e-05,0.0020068695303052,0
hit:715_conv:1431,disgust,Just the other day_comma_ I was quite embarrassed at work. I was wrapping up my lunch and talking to a coworker. I must've been talking to her for about 5 minutes before she said I had food on my chin.,5.0,Have you ever been in a situation where you had food on your face and you walked around for awhile without anyone telling you? This just happened to me yesterday and I was so embarrassed!,Of course I have_comma_ it is really hard,0.89158535,0.10085517,0.0075594904,0.3614962,0.4817677,0.15673599,0,2,0,0.131,-0.2763333333333333,-0.1313333333333333,0.059,0.0969999999999999,0.209,35,8,0.0495563596487045,0.0163112394511699,0.0023618547711521,0.323783129453659,0.0001294213725486,0.0834476575255394,0.2296980172395706,0.0008591241785325,0.2938532531261444,0
hit:715_conv:1431,disgust,Just the other day_comma_ I was quite embarrassed at work. I was wrapping up my lunch and talking to a coworker. I must've been talking to her for about 5 minutes before she said I had food on my chin.,5.0,Yeah_comma_ I was mortified when the person told me about it - especially when we were talking for about 5 minutes.,Was it in the morning? Did you rush home immediately? How did you manage?,0.8511033,0.13709542,0.011801291,0.06295025,0.898119,0.038930777,0,0,2,-0.1326666666666666,-0.0846666666666666,-0.1853333333333333,0.2239999999999999,0.0496,0.1843999999999999,21,14,6.748633313691244e-05,3.634554741438478e-05,3.181854845024645e-05,2.5061654014280063e-05,0.0003299704985693,0.0006270697340369,0.9983189702033995,0.0001230508787557,0.0004402446211315,0
hit:1023_conv:2046,disgust,The first time I went on a date made me feel very awkward,5.0,Hi_comma_ the first time  went on a date made me feel very awkward,Why did it make you feel awkward?,0.8760241,0.116719976,0.007255883,0.63557637,0.35346177,0.010961841,0,0,2,0.1724,-0.0916,0.1003999999999999,0.188,0.1146666666666666,-0.0439999999999999,13,7,5.839540608576499e-05,4.793978951056488e-05,2.851161661965307e-05,1.845332189986948e-05,0.000113723675895,0.0002999373245984,0.999000608921051,0.0001092823295039,0.0003232316521462,0
