conv_id,context,prompt,empathy,speaker_utterance,listener_utterance,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,mimicry
hit:9071_conv:18143,sadness,I was discussing phone bills with my friend_comma_ and he told me his parents pay for his bill.,4.0,I was discussing phone bills with my friend.  He told me how his parents pay for his phone bills,That must be nice,0.17125726,0.75723726,0.07150543,0.005726523,0.040254153,0.9540193,0,0,0,0.2805714285714286,-0.1857142857142857,0.1231428571428571,0.3379999999999999,-0.176,0.091,19,4,0.0003408867341931,0.9971144199371338,0.0002951867936644,0.0003050637315027,0.0001020495474222,3.65412124665454e-05,7.122609531506896e-05,0.0016672218916937,6.739990203641355e-05,1
hit:9071_conv:18143,sadness,I was discussing phone bills with my friend_comma_ and he told me his parents pay for his bill.,4.0,Yeah I know.  Although I like to think I would decline if my parents offered_comma_ I still wish my bills were paid by someone other than me.,Yeah_comma_ I think we all wish that was possible,0.5454486,0.40358058,0.050970756,0.033244636,0.41003183,0.55672354,0,0,0,0.2215555555555555,-0.1428888888888889,0.1157777777777777,0.4966666666666666,-0.1286666666666666,0.2086666666666666,27,9,0.0002998470154125,8.052705379668623e-05,6.04940032644663e-05,6.768994353478774e-05,0.0006177132599987,0.0177687518298625,0.0031142823863774,0.0026155728846788,0.9753750562667848,1
hit:4522_conv:9045,sadness,I really needed to pass this class so I tried hard to study for it. In the end I barely did bad enough to not pass the class.,4.0,I really tried hard to pass this class last semester but even studying did not help.,Aw I am sorry. Can you retake the class?,0.9147256,0.07733253,0.0079418635,0.60970664,0.36144236,0.02885104,2,0,2,0.0567999999999999,-0.1344,-0.0631999999999999,0.1186666666666666,-0.2353333333333333,-0.1166666666666666,16,9,0.0002990050707012,0.0003429735079407,5.831969610881061e-05,0.0001167387235909,0.9650782942771912,0.0007517068879678,0.0328229442238807,0.0003933395782951,0.0001366567012155,1
hit:4522_conv:9045,sadness,I really needed to pass this class so I tried hard to study for it. In the end I barely did bad enough to not pass the class.,4.0,Yeah I can but it is just really inconvenient and sad that I have to.,i understand. Those classes are expensive too.,0.9440081,0.05080761,0.005184219,0.72521657,0.25388965,0.020893773,1,1,0,-0.2593333333333333,-0.1313333333333333,-0.348,0.1593333333333333,-0.1813333333333333,0.1299999999999999,15,7,0.9964392781257628,0.0017191264778375,0.0010426596272736,0.0001830255496315,2.6606461688061245e-05,0.0001226621097885,7.822707266313955e-05,0.0001551156165078,0.000233245518757,0
hit:8336_conv:16673,sadness,I'm sad_comma_ tomorrow I have to go back to school and I'm going to miss the summer with my old friends.,5.0,I am sad_comma_ tomorrow I have to go back to school and I am going to miss the summer with my old friends.,Awh_comma_ I am sorry to hear that. Do you have any friends at school?,0.88610226,0.09712498,0.016772727,0.66381365,0.3132898,0.022896504,2,0,2,0.284,-0.2017777777777777,-0.0904444444444444,0.4213333333333333,-0.1453333333333333,-0.003,23,14,0.0005053759668953,0.0001771319512045,9.304159175371753e-05,0.0002388076245551,0.9006435871124268,0.0032933193724602,0.0942172929644584,0.0005914972280152,0.0002399278018856,1
hit:8336_conv:16673,sadness,I'm sad_comma_ tomorrow I have to go back to school and I'm going to miss the summer with my old friends.,5.0,Yeah I do_comma_ thankfully_comma_ but not as close as my old friends from high school.,Well_comma_ hopefully you all will still be able to keep in touch.,0.117839076,0.629605,0.25255597,0.0041761617,0.12568471,0.8701392,1,0,0,0.3268,-0.1384,0.0476,0.4306666666666667,-0.1513333333333333,0.208,15,12,8.124348823912442e-05,9.168522956315428e-05,0.0080411192029714,0.989424169063568,0.0001127072318922,0.0015103557379916,0.000264656584477,0.0002788291312754,0.0001952103193616,1
hit:10501_conv:21003,sadness,My cat seems to like my new girlfriend more than me_comma_ he sleeps with her on her side of the bed now.,5.0,I think my cat likes my new girlfriend more than he likes me now.,I have had that happen before. My cat is definitely more my wife's cat now. Does he still cuddle up with you?,0.07492887,0.37961003,0.5454611,0.05369216,0.5892197,0.35708818,0,2,2,0.5066666666666667,-0.1243333333333333,0.022,0.401,-0.1753333333333333,-0.1016666666666666,14,22,0.0075462758541107,0.0001191862684208,5.7483754062559456e-05,8.430448360741138e-05,0.0004282080335542,0.0003450996591709,0.9905477166175842,0.0001536573981866,0.000718007562682,1
hit:10501_conv:21003,sadness,My cat seems to like my new girlfriend more than me_comma_ he sleeps with her on her side of the bed now.,5.0,Yea he loves to sit on my lap while i work_comma_ but prefers her side of the bed now when he sleeps. ,Haha_comma_ same for me. It is like as soon as my wife is available to sit or lay with_comma_ I am chopped liver.,0.035250973,0.3548897,0.60985935,0.42117974,0.48648277,0.0923375,0,2,0,0.3440000000000001,-0.2955,-0.066,0.3233333333333333,-0.2683333333333333,-0.0346666666666666,22,23,0.0031746923923492,0.0002768640697468,3.0335839255712926e-05,0.0017843175446614,6.73498070682399e-05,0.0015931819798424,0.000173345208168,5.220923776505515e-05,0.9928476810455322,1
hit:503_conv:1006,sadness,I have never been able to afford a car since we are pretty poor. My friend_comma_ on the other hand_comma_ has gotten 3 free cars.,1.0,Man_comma_ my friend has it so good in some regards. I have never been able to afford a car and he has had three free cars already.,Free? How on earth do you get free cars?,0.008589215,0.042599764,0.948811,0.7526961,0.22348295,0.02382098,0,0,2,0.5721999999999999,-0.1217999999999999,0.1629999999999999,0.6232,-0.0564,0.1476,27,9,6.583138747373596e-05,4.186696605756879e-05,4.404491119203158e-05,2.4843617211445235e-05,0.0001013387081911,0.0002189299993915,0.9993482232093812,7.397366425720975e-05,8.081267878878862e-05,1
hit:503_conv:1006,sadness,I have never been able to afford a car since we are pretty poor. My friend_comma_ on the other hand_comma_ has gotten 3 free cars.,1.0,His grandfather bought him one and his parents bought him two of them!,He must have a rich family. I guess you do not?,0.01565085,0.518432,0.4659171,0.30541772,0.52444696,0.17013533,0,0,2,0.3505,-0.4359999999999999,0.1099999999999999,0.4272,-0.0387999999999999,0.1868,13,11,5.1106337195960805e-05,0.0001828928507165,3.41126651619561e-05,1.7711028704070486e-05,0.0001257562980754,0.0002447110891807,0.9991822838783264,5.214280463405885e-05,0.0001093984610633,0
