conv_id,context,prompt,empathy,speaker_utterance,listener_utterance,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,mimicry
hit:4448_conv:8897,trust,I love seing the happy couples in the picture frames that I buy,5.0,I like buying picture frames,I do too. Which ones do you like to buy?,0.0058164424,0.121101975,0.87308156,0.02499322,0.8887661,0.086240776,0,1,2,0.2835,-0.111,-0.0415,0.351,-0.0189999999999999,-0.0179999999999999,5,10,8.927584713092074e-05,0.0001532020251033,4.798140798811801e-05,1.4093598110775927e-05,9.67008454608731e-05,0.0004321700835134,0.9989748001098632,6.282717367867008e-05,0.000128957137349,1
hit:4448_conv:8897,trust,I love seing the happy couples in the picture frames that I buy,5.0,The ones that have the happiest couples in them. ITs silly,It is! Those pictures bring me so much oy!,0.16284615,0.37689334,0.46026054,0.0016056398,0.027591,0.9708034,1,2,0,0.3916,-0.0596,-0.0092,0.349,-0.232,-0.076,11,9,0.0129066342487931,0.5016897916793823,0.0002938006655313,0.0001142173350672,0.0015904161846265,0.0002885764697566,0.000538837746717,0.0170833449810743,0.4654943645000458,1
hit:7705_conv:15410,trust,Anytime you get married you have to trust that person 100%. I have dated a lot but my husband just felt different.,4.0,Are you married? Have you ever had the chance to feel that type of love.,No unfortunately. Have you?,0.050587103,0.7578042,0.19160864,0.55044717,0.42712578,0.02242708,0,0,1,0.5236,0.0103999999999999,0.104,-0.792,-0.012,-0.438,15,4,5.372938176151365e-05,6.868031050544232e-05,5.092752689961344e-05,1.8396680388832465e-05,4.3070911488030106e-05,0.0001588056475156,0.999380350112915,0.000130673564854,9.540300379740074e-05,0
hit:7705_conv:15410,trust,Anytime you get married you have to trust that person 100%. I have dated a lot but my husband just felt different.,4.0,oh wow_comma_ I hope someday you get to.,I agree_comma_ but I also enjoy my independence. ,0.005548564,0.13829441,0.85615706,0.00894391,0.11646114,0.8745949,0,2,0,0.667,-0.089,0.406,0.8406666666666668,0.0986666666666666,0.4706666666666666,8,8,0.5778070688247681,0.0011364427627995,0.0004669009358622,0.0601638928055763,0.0074256984516978,0.0003471978707239,0.0039388085715472,0.0012737567303702,0.3474402129650116,1
hit:1584_conv:3169,trust,My husband is such a great guy. I don't ever have to worry about him going out and cheating on me. That is great because I used to be a jealous person.,5.0,My husband is so amazing. I can trust him totally.,That is so great to hear. Relationships can be hit or miss sometimes. Sounds like you got a good one.,0.00199311,0.0071906103,0.99081624,0.005688854,0.028825928,0.9654853,1,0,0,0.6188,0.0663999999999999,0.3604,0.4053999999999999,-0.0085999999999999,0.0464,10,20,0.0002528918266762,0.9986364245414734,0.000145158774103,0.0002760427887551,0.0001037981783156,5.447327930596657e-05,5.125931420479901e-05,0.00041311365203,6.67477142997086e-05,1
hit:1584_conv:3169,trust,My husband is such a great guy. I don't ever have to worry about him going out and cheating on me. That is great because I used to be a jealous person.,5.0,I used to be a really jealous person and was always picking a fight thinking something was up. I have learned after 21 years how to deal with my problem.,Over 2 decades. That is a long time.,0.7519664,0.22109014,0.026943462,0.37033942,0.5391889,0.09047167,0,2,0,0.0687272727272727,-0.0330909090909091,0.0354545454545454,0.1173333333333333,-0.3046666666666666,0.2113333333333333,30,8,0.0121374260634183,0.8441748023033142,0.0003706509887706,0.002907503163442,0.0004873848229181,0.000104330072645,0.1292828321456909,0.0027676597237586,0.0077674514614045,1
hit:6678_conv:13356,trust,I trusted my parents to help me when I was in need and they did.,5.0,I was in a bind not too long ago and I trusted my parents to help me out.,Did they help you?,0.05234512,0.49348667,0.4541683,0.10155094,0.8598803,0.038568743,0,0,2,0.0964,-0.2308,0.086,0.346,-0.058,-0.08,18,4,3.507493966026232e-05,3.343198841321282e-05,2.1461479263962246e-05,5.463410707307048e-05,0.000141011638334,0.0006973173003643,0.9988119602203368,0.0001072274972102,9.788244642550126e-05,0
hit:6678_conv:13356,trust,I trusted my parents to help me when I was in need and they did.,5.0,Yes! I knew I could depend on them.,I am glad things worked out for you.,0.01012999,0.26270643,0.72716355,0.0026163924,0.035493724,0.96188986,2,0,0,-0.224,-0.142,-0.284,0.387,-0.018,0.0,8,8,0.0015642782673239,0.9956281185150146,0.0001788509107427,0.0001004738151095,8.44776222947985e-05,7.544787513324991e-05,3.227870547561906e-05,0.0016638059169054,0.0006722351536154,0
hit:7509_conv:15018,trust,I found old family pictures... It's so bittersweet looking back,5.0,I found old family pictures... It is so bittersweet looking back.,Yes i know that feeling well_comma_  were you happy to look back?,0.0014478251,0.027527953,0.97102416,0.030102678,0.55859214,0.41130522,1,0,2,0.3688,-0.1763999999999999,-0.038,0.4911999999999999,-0.1172,0.1831999999999999,11,12,0.0005310113192535,6.34387179161422e-05,2.122226942447014e-05,9.373309148941188e-05,0.0003386448370292,0.0001464456727262,0.9985395669937134,7.963381358422339e-05,0.0001863584475358,1
hit:7509_conv:15018,trust,I found old family pictures... It's so bittersweet looking back,5.0,Yes I was_comma_ it brought back so many good memories,thats awesome_comma_ I am happy for you_comma_ sometimes the past seems like better days,0.0013827994,0.019823756,0.97879344,0.0015216903,0.009956494,0.9885218,2,0,0,0.4453333333333333,-0.2673333333333333,-0.038,0.5632,0.0704,0.1236,10,14,0.0018259809585288,0.3592407405376434,0.0003713184851221,0.586664080619812,0.0073226932436227,0.0300127025693655,0.0060913474299013,0.0011403454700484,0.0073307142592966,1
