,conv_id,context,prompt,speaker_utterance,listener_utterance,valence_listener,arousal_listener,empathy,pred
6,hit:6142_conv:12244,embarrassed,There was this one time I was invited to my friends birthday party. We were all about to walk in the house and I ran smack into the glass door. It was very clean. Later on I won the door prize,Once when I was younger I went to a friends 16th birthday and had a crazy experiene happen,What happened?,0.0,0.0,3,1
8,hit:9838_conv:19677,disgusted,I hate olives and the other day I was eating a salad and there was one in there :(,I absolutely hate olives. The other day I was eating a salad I got from Whole Foods and somehow a stray black olive was in there. >:(,Eww! I really hate olives also. What things do you like in your salad?,0.008,-0.2528,2,3
16,hit:10497_conv:20994,embarrassed,I went swimming the other day and when I jump into the water and came back up_comma_ my bathing suit top was pulled over my breast and I was wandering why everyone was staring at me.,Yes I did realize fairly fast why everyone was staring. I looked down and seen my breast exposed.,That is good_comma_ I would be mortified if that happened to me.,0.0026666666666666,0.0073333333333333,2,1
24,hit:6296_conv:12592,angry,My crocodile bit my hand off. I was so mad!,I know! Are not it annoying? This whole typing with my feet thing is getting old pretty fast.,Get a prosthetic. I cant spell,-0.0233333333333333,-0.0413333333333333,2,1
30,hit:4427_conv:8854,impressed,I once saw the music sheet of the best clarinet player in our band. There were markers all over it and it showed how much she practiced.,I once saw the music sheet of the best clarinet player in my high-school band.,Oh that really cool.. I bet it was really complicated_comma_ huh?,-0.0126666666666666,0.2653333333333333,2,3
33,hit:10427_conv:20854,apprehensive,I was scared to go on the new roller coaster at Six Flags_comma_ because it is so high and fast. I felt sick to my stomach while I was waiting in line.,I felt sick to my stomach waiting in line for a new roller coaster.,I would have felt the same way. I am really afraid to get on any roller coaster. How was it?,-0.0002857142857142,0.0442857142857142,1,3
42,hit:1190_conv:2380,hopeful,I hope my dog returns home!,Only time will tell!,I guess you got to just wait and see.,-0.0006666666666666,-0.4006666666666666,3,1
46,hit:10976_conv:21953,embarrassed,While I was walking to class yesterday_comma_ I tripped over some loose bricks and fell down.  The ground was wet from rain_comma_ so I was filthy when I got up.  I wasn't physically hurt_comma_ but my ego was.,Yeah_comma_ I unfortunately had to go to class that way. I was not physically hurt_comma_ but my ego definitely was.,Well_comma_ I am glad you did not hurt yourself at least.,0.0,0.533,1,3
48,hit:1077_conv:2155,angry,I was so mad at my boss when he scheduled me on my day off.,I got really grumpy when my boss scheduled me for my day off.,That is not right. I would not of gone in.,0.0166666666666666,-0.3373333333333333,3,1
54,hit:2754_conv:5509,terrified,i was so scared when i went to watch conjuring in the theatres.. that is one scary movie!,it is a terrifying movie. havent you seen it yet?,no i never heard of it,0.0,0.0,3,1
79,hit:2717_conv:5434,hopeful,I really was starting to believe that_comma_ finally I can relax in solitude.,As the day was coming to an end_comma_ I was begging to believe that my solitude was perfect.,Well in some ways solitude is nice.,0.0786666666666666,-0.3713333333333333,1,2
90,hit:1772_conv:3544,disgusted,I am disgusted with many people in my country. They voted to leave the EU.,I cannot see why tey would want to sever ties with Europe and become separate,I can understand that viewpoint. It is a very complicated issue though!,0.0487999999999999,0.0075999999999999,1,3
